trace_id,question,generated_answer,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
04846eb2f8b6256f,Existe-t-il un code d'honneur pour les étudiants en bachelor et où puis-je le trouver?,"Oui, il existe un code d'honneur pour les étudiants en bachelor à l'EPFL. Il est mentionné dans plusieurs chunks du contexte fourni. Par exemple, dans le [Chunk 1], il est indiqué que le code d'honneur met en évidence les responsabilités éthiques des futurs ingénieurs, scientifiques et architectes EPFL. Le code d'honneur fait référence à la charte éthique de l'EPFL, qui peut être consultée à l'adresse suivante: https://www.epfl.ch/about/overview/wp-content/uploads/2019/09/Charte-ethique-de-lEFPL.pdf. De plus, dans le [Chunk 4], il est précisé que le code d'honneur est un engagement pris par les étudiants de l'EPFL pour adhérer aux principes de la charte éthique de l'EPFL, respecter les règlements de l'école, et contribuer au rayonnement de l'EPFL. Le code d'honneur est également mentionné dans le [Chunk 3] sous le point 31, où il est décrit comme un texte soulignant les responsabilités éthiques des futurs ingénieurs, chercheurs et architectes de l'EPFL.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.1,0.7572547916495422,0.27714581178903824,0.0,0.37992455607924164,1.0,1.0
11d737508d2a83c2,Les emprunts dans un travail écrit doivent-ils être reconnaissable via une note en bas de page ?,"Non, les emprunts doivent être reconnaissables par une référence à la source, mais pas nécessairement via une note en bas de page. Selon les articles 4 et 5 des directives fournies, tout emprunt doit être reconnaissable comme tel dans le travail écrit par une référence à la source, mais la forme exacte de cette référence n'est pas spécifiée. La référence peut prendre différentes formes, comme une note en bas de page, une citation entre guillemets, ou une mention dans le texte, selon les normes de citation utilisées.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.05,0.3047311277302028,0.05950095969289827,1.0,0.17561675589652948,1.0,1.0
28425f79106ed6cf,"Je suis en première année de bachelor et j'ai obtenu la moyenne de 3,49 au semestre. Comment m'inscrire en BA2?","Selon l'art. 14 de l'ordonnance sur la formation menant au bachelor et au master de l'EPFL, la réussite du cycle propédeutique (BA1) est conditionnée par l'obtention d'une moyenne générale égale ou supérieure à 4,00 à l'examen du second semestre. Comme votre moyenne est de 3,49, vous n'avez pas réussi le cycle propédeutique et ne pouvez donc pas vous inscrire en BA2. Vous devrez répéter le cycle propédeutique ou, si cela est possible, suivre des mesures de soutien pour améliorer vos résultats.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8572008622866015,0.7108433734939759,0.85,0.3424118434849671,1.0,1.0
289a2a8c79f9b5ff,Est-ce qu'un doctorant peut racheter son ordinateur ?,"Non, le contexte fourni ne mentionne pas la possibilité pour un doctorant de racheter son ordinateur. Les articles mentionnés concernent principalement les rachats de prestations réglementaires dans le cadre de la prévoyance, les règles de sécurité et de santé au travail, les directives sur la formation doctorale, les mesures disciplinaires, et d'autres aspects administratifs et organisationnels de l'EPFL. Aucune disposition ne traite spécifiquement du rachat d'un ordinateur par un doctorant.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45596156300468027,0.6378269617706237,0.0,0.3640768748425438,1.0,1.0
4eb53cd1e219ea08,Quelles sont les conditons de réussite pour un bloc au niveau master à l'EPFL ?,Le contexte fourni ne contient pas d'informations spécifiques sur les conditions de réussite pour un bloc au niveau master à l'EPFL.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.14285714285714285,0.15,0.5799840882168847,0.4748201438848921,0.0,0.1676822738340701,1.0,0.9
6bfb606cea703d72,"J'envisage de commencer mes études à l'EPFL. ""Combien d'années faut-il compter pour faire sa formation à l'EPFL ?""","La durée de la formation à l'EPFL dépend du programme choisi. Le cycle bachelor s'étend sur deux années d'études (Art. 8, Chunk 1). Le cycle master peut durer une année (60 crédits ECTS) ou une année et demie (90 crédits ECTS), mais ne peut excéder deux ou trois ans respectivement (Art. 10, Chunk 1). En incluant le cycle propédeutique, la durée totale peut varier.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.2,0.8391134641029061,0.6049586776859505,0.85,0.19942865186476108,1.0,1.0
95b2225486941ac2,Est-ce qu'une décision de la Commission des prix de la recherche ou d’un jury spécifique doit être notifiées formellement au candidat par le biais d'une lettre recommandée ?,"Non, les décisions de la Commission ou d’un jury spécifique doivent être notifiées formellement au candidat par le biais d'une lettre ou d’un email de décision, mais pas nécessairement par lettre recommandée.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,0.35318227702780935,0.11538461538461539,1.0,0.2153555230222931,1.0,1.0
a737bf8df8e8394a,Puis-je être immatriculé dans deux universités en même temps?,"Non, selon l'article 4 de l'ordonnance de la Direction de l'EPFL sur l'admission à l'EPFL, une personne qui est immatriculée dans une autre haute école n'est pas admissible à l'EPFL, sauf circonstances particulières dictées par la formation suivie.",0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.1,0.7828318396005339,0.8185483870967742,0.0,0.32255806819952776,1.0,1.0
af2360a2f25b02b6,A combien de semaines de vacances par an ai-je le droit à partir de 60 ans en tant qu'employé à l'EPFL ?,"Le contexte fourni ne mentionne pas explicitement le droit aux vacances à partir de 60 ans. Cependant, selon l'article 17 du Règlement concernant la gestion du temps de travail (RGT) et l'article 51 de l'Ordonnance sur le corps professoral des EPF, les collaborateurs ont droit à 5 semaines de vacances par an, sauf pour les moins de 20 ans et les plus de 50 ans, qui ont droit à 6 semaines. Par conséquent, à partir de 50 ans, vous avez droit à 6 semaines de vacances par an.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.1,0.31934989028411864,0.02100840336134454,0.0,0.07870360569652565,0.1667,0.9
c555c0e61778581c,"En tant qu’étudiant, puis-je créer un site web pour mon association avec un nom de domaine externe (ex: monlabo.ch) au lieu d’un site epfl.ch ? Est-ce que j'ai des contraintes à respecter concernant le choix du nom de domaine ?","Non, en tant qu'étudiant, vous ne pouvez pas créer un site web pour votre association avec un nom de domaine externe (ex: monlabo.ch) au lieu d'un site epfl.ch. Selon l'article 7 de la directive pour la gestion de noms de domaines, les associations étudiantes reconnues par l'EPFL peuvent demander un nom de sous-domaine correspondant à leur acronyme. Les associations étudiantes reconnues par l'EPFL figurant dans l’annuaire des unités de l’EPFL peuvent demander un nom de sous-domaine correspondant à leur acronyme (Article 6 al. 5). Les noms de sous-domaine ne doivent pas contenir de mots isolés provenant de dictionnaires standard (anglais ou français). La Direction de l’EPFL peut cependant approuver certaines exceptions (Article 6 al. 6).",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3,0.6455625270983556,0.23324396782841822,0.98,0.2821570486035002,0.8,0.2
e390a4b7664a4f49,Est-ce que le COSEC est rattaché à la VPF à l'EPFL ?,"Non, le contexte fourni ne mentionne pas que le COSEC est rattaché à la VPF à l'EPFL. Selon le contexte, les professeurs et responsables d’unité sont par défaut les correspondantes et correspondants de sécurité (COSEC) de leur unité, et ils peuvent déléguer cette tâche à une collaboratrice ou un collaborateur expérimenté.",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.2,0.45113782260218616,0.09597523219814241,0.0,0.19975657354611984,1.0,1.0
f2b397722407f4eb,Je viens d'obtenir mon bachelor à l'EPFL. Quel est mon titre officiel ?,"Votre titre officiel est ""Bachelor of Science (BSc)"" dans le domaine d'études que vous avez suivi à l'EPFL.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,0.6092576180967609,0.5071090047393365,1.0,0.16339758482272726,0.0,1.0
f9781330da8f190b,Quels sont les membres qui composent la Direction de l'EPFL ?,"La Direction de l'EPFL est composée de la Présidente ou du Président, des Vice-présidentes ou Vice-présidents, des Vice-présidentes ou Vice-présidents associés, de la Directrice ou du Directeur des Affaires de la Direction et du Développement, de la Directrice ou du Directeur des Affaires juridiques, des Doyennes ou Doyens de faculté et des Directrices ou Directeurs de collège (Chunk 8, Article 2).",0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.2,0.1,0.9118018299682155,0.22693266832917705,0.95,0.3376258748761375,1.0,1.0
