trace_id,question,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
4c1e108b6a6eb0bb,Les emprunts dans un travail écrit doivent-ils être reconnaissable via une note en bas de page ?,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.05,0.2594319322380754,0.08355795148247978,0.211227671001406
519c08b765d90655,Est-ce qu'un doctorant peut racheter son ordinateur ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6945185157731387,0.35962145110410093,0.20074447738333004
62e6f6086f3f1391,A combien de semaines de vacances par an ai-je le droit à partir de 60 ans en tant qu'employé à l'EPFL ?,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.1,0.24094815126756547,0.020833333333333332,0.06783707333414979
6a94414f3751fed3,Puis-je être immatriculé dans deux universités en même temps?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.05,0.6353122486779597,0.32171156893819336,0.394774067549953
70ef18b35e3b81c7,Est-ce que le COSEC est rattaché à la VPF à l'EPFL ?,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.38823293156925726,0.1040268456375839,0.16083662953466388
7682e718d003a0a5,"J'envisage de commencer mes études à l'EPFL. ""Combien d'années faut-il compter pour faire sa formation à l'EPFL ?""",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,0.2,0.6344067783175568,0.7305785123966942,0.28479637828036974
7816bc4a9bdc7379,"Je suis en première année de bachelor et j'ai obtenu la moyenne de 3,49 au semestre. Comment m'inscrire en BA2?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5243920435966836,0.8655256723716381,0.3309041055277237
9ebd88fb37f9d933,Existe-t-il un code d'honneur pour les étudiants en bachelor et où puis-je le trouver?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.8017027345849326,0.9925373134328358,0.2998323191014229
a235b1f91b8e01c2,"En tant qu’étudiant, puis-je créer un site web pour mon association avec un nom de domaine externe (ex: monlabo.ch) au lieu d’un site epfl.ch ? Est-ce que j'ai des contraintes à respecter concernant le choix du nom de domaine ?",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.1,0.6912053893661415,0.2471590909090909,0.41459417288864137
d5d94058a70f99a9,Est-ce qu'une décision de la Commission des prix de la recherche ou d’un jury spécifique doit être notifiées formellement au candidat par le biais d'une lettre recommandée ?,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.15,0.35168009577515286,0.1702127659574468,0.1437679361114227
d97f97ea89ca7e09,Quelles sont les conditons de réussite pour un bloc au niveau master à l'EPFL ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5794227936449192,0.4748201438848921,0.1676822738340701
e06188ecb52658c5,Je viens d'obtenir mon bachelor à l'EPFL. Quel est mon titre officiel ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,0.6445841017593388,0.4928909952606635,0.16602873550269176
f30a6801508c9caf,Quels sont les membres qui composent la Direction de l'EPFL ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6685649250976955,0.3486590038314176,0.3061352891667134
