trace_id,question,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
155ec5b1be62a912,Est-ce qu'une décision de la Commission des prix de la recherche ou d’un jury spécifique doit être notifiées formellement au candidat par le biais d'une lettre recommandée ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,0.3528722520216651,0.2727272727272727,0.1227845725036014
17d7f173977433b2,Puis-je être immatriculé dans deux universités en même temps?,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1,0.05,0.7576968037352043,0.5960591133004927,0.36028382240632995
1b80ba4a20ae1cb3,Les emprunts dans un travail écrit doivent-ils être reconnaissable via une note en bas de page ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.23546122812773176,0.047619047619047616,0.1407982962036492
21f9d3118b7612e3,"Je suis en première année de bachelor et j'ai obtenu la moyenne de 3,49 au semestre. Comment m'inscrire en BA2?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4849133189753537,0.6495412844036698,0.30615149621346716
4e50b291af4cd391,"J'envisage de commencer mes études à l'EPFL. ""Combien d'années faut-il compter pour faire sa formation à l'EPFL ?""",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.6310303996497064,0.9950657894736842,0.3314624198739394
58d40bdf1c07500b,Est-ce qu'un doctorant peut racheter son ordinateur ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7246420073911191,0.4195583596214511,0.229564075894067
9532f4e4c2b0917e,Existe-t-il un code d'honneur pour les étudiants en bachelor et où puis-je le trouver?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.7990529473008892,0.6979166666666666,0.3342535795612732
b0267dffd6c54ce0,Est-ce que le COSEC est rattaché à la VPF à l'EPFL ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.4472725066793379,0.1103202846975089,0.23359450128212755
b08ce4f8e762037f,A combien de semaines de vacances par an ai-je le droit à partir de 60 ans en tant qu'employé à l'EPFL ?,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.1,0.3949038788581005,0.03225806451612903,0.10059276305052489
c445b2e3a94743da,Quelles sont les conditons de réussite pour un bloc au niveau master à l'EPFL ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5794227936449192,0.4748201438848921,0.1676822738340701
cf67d8dbd1b99c48,Je viens d'obtenir mon bachelor à l'EPFL. Quel est mon titre officiel ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.6860453894794467,0.8293838862559242,0.4284782792499671
d53e3f6cd3c85639,"En tant qu’étudiant, puis-je créer un site web pour mon association avec un nom de domaine externe (ex: monlabo.ch) au lieu d’un site epfl.ch ? Est-ce que j'ai des contraintes à respecter concernant le choix du nom de domaine ?",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.6581518302799588,0.19683257918552036,0.3287340583571757
e8bf092cf43f1133,Quels sont les membres qui composent la Direction de l'EPFL ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8696400140267281,0.21016166281755197,0.30418165290985894
