trace_id,question,generated_answer,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,Context Relevance (Contextrelevance-Langfuse),mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,Answer Correctness - RAGAS,chrf_score,Groundedness (Faithfulness-RAGAS),Answer Relevance (Relevance-Langfuse)
0a6ccd1fabfe6574,"En tant qu’étudiant, puis-je créer un site web pour mon association avec un nom de domaine externe (ex: monlabo.ch) au lieu d’un site epfl.ch ? Est-ce que j'ai des contraintes à respecter concernant le choix du nom de domaine ?","Oui, en tant qu'étudiant, vous pouvez créer un site web pour votre association avec un nom de domaine externe (ex: monlabo.ch) plutôt qu'un sous-domaine epfl.ch, mais vous devez respecter certaines contraintes.

Selon le **Chunk 1** (Directive pour la gestion de noms de domaines), les associations étudiantes reconnues par l'EPFL peuvent demander un nom de sous-domaine correspondant à leur acronyme (ex: association.epfl.ch). Cependant, si vous choisissez un nom de domaine externe, les règles suivantes s'appliquent :

1. **Responsabilité** : Le responsable de l’unité concernée (probablement votre association) est responsable du nom de domaine (Article 7, Chunk 1).
2. **Validation par MEDIACOM** : Si votre projet ou association répond aux critères cumulatifs suivants, le choix du nom de domaine doit être validé par l’unité MEDIACOM :
   - Le projet implique des participants actifs en dehors de l'EPFL.
   - La gestion du site web est sous la responsabilité d’une unité de l’École.
   - L’adresse du site (URL) est largement diffusée en dehors de l'EPFL (Chunk 1 et Chunk 4, Article 7).
3. **Interdiction de mots isolés** : Le nom de domaine ne doit pas contenir de mots isolés provenant de dictionnaires standard (anglais ou français), sauf exception approuvée par la Direction de l'EPFL (Chunk 1, point 6).
4. **Enregistrement et frais** : Vous êtes responsable de l'enregistrement du nom de domaine auprès de l'autorité compétente et du paiement des frais. Le nom doit être enregistré au nom de l’association, et une adresse e-mail de groupe (et non personnelle) doit être utilisée (Chunk 4, Article 9).

Si votre association n'est pas reconnue par l'EPFL, les mêmes règles s'appliquent (Chunk 4, Article 7, paragraphe 2).

En résumé, vous pouvez utiliser un nom de domaine externe, mais il doit être validé par MEDIACOM si votre site est largement diffusé en dehors de l'EPFL, et il ne doit pas contenir de mots isolés courants.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.6565406468932039,0.08964451313755796,0.95,0.23683830091253338,1.0,1.0
24c3659a4e43277c,Quels sont les membres qui composent la Direction de l'EPFL ?,"Le contexte fourni ne mentionne pas explicitement les membres qui composent la **Direction de l'EPFL**. Les informations disponibles concernent principalement les organes internes des facultés (comme les commissions d'enseignement, les services généraux, etc.) et des commissions spécifiques (comme la Commission de restauration), mais pas la composition de la Direction de l'EPFL elle-même.

Ainsi, **aucune réponse précise ne peut être donnée** à partir du contexte fourni.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7027065461567378,0.19157894736842104,0.95,0.24344225888880286,1.0,1.0
490a698f0ddb8e75,Est-ce qu'une décision de la Commission des prix de la recherche ou d’un jury spécifique doit être notifiées formellement au candidat par le biais d'une lettre recommandée ?,"Non, selon le contexte fourni, les décisions de la Commission des prix de la recherche ou d’un jury spécifique doivent être notifiées formellement au candidat par le biais d'une **lettre ou d’un email de décision**, mais il n'est pas mentionné que la notification doit se faire par lettre recommandée.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.3422082962867664,0.07973421926910298,0.0,0.16792922387133472,1.0,1.0
49fefa807e8100c9,Est-ce qu'un doctorant peut racheter son ordinateur ?,"Le contexte fourni ne contient aucune information concernant la possibilité pour un doctorant de racheter son ordinateur. Par conséquent, il n'est pas possible de répondre à cette question en se basant uniquement sur les éléments fournis.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.817200640775274,0.750788643533123,0.0,0.31545137597547196,1.0,1.0
685345147c2e6f21,"Je suis en première année de bachelor et j'ai obtenu la moyenne de 3,49 au semestre. Comment m'inscrire en BA2?","Le contexte fourni ne contient pas d'informations spécifiques sur les conditions d'inscription en deuxième année de bachelor (BA2) à l'EPFL, notamment en ce qui concerne les critères de moyenne ou de procédure d'inscription.

Pour obtenir une réponse précise, il serait nécessaire de consulter les directives académiques de l'EPFL ou de contacter le service des affaires étudiantes.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5756313477661266,0.9267015706806283,1.0,0.31480609965014156,1.0,0.8
712f9ad740c41f62,Je viens d'obtenir mon bachelor à l'EPFL. Quel est mon titre officiel ?,"D'après le contexte fourni, il n'y a pas d'information spécifique sur le titre officiel attribué après l'obtention d'un bachelor à l'EPFL. Le contexte mentionne des directives sur les titres académiques (comme maître d'enseignement et de recherche ou professeur titulaire), les langues d'enseignement, les procédures de contestation, et une convention d'objectifs, mais pas le titre exact pour un bachelor.

Cependant, selon les pratiques courantes des universités suisses, le titre officiel après un bachelor à l'EPFL est généralement **""Bachelor of Science (BSc)""** dans le domaine d'études concerné (par exemple, BSc en ingénierie, BSc en sciences, etc.). Si vous avez besoin d'une confirmation exacte, il est recommandé de consulter directement le règlement des études de l'EPFL ou le service académique compétent.",0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8,0.25,0.15,0.5751034902706877,0.25794621026894865,0.025,0.249476797381538,0.7142857142857143,1.0
8b8b43d371e1ca3d,Les emprunts dans un travail écrit doivent-ils être reconnaissable via une note en bas de page ?,"Oui, les emprunts dans un travail écrit doivent être reconnaissables comme tels, notamment par une référence à la source. Selon le contexte fourni (Chunk 1, art. 4 et art. 5), tout emprunt doit être clairement indiqué dans le travail, que ce soit sous forme de citation ou de reprise de substance, afin de distinguer l'apport personnel de l'étudiant. Une note en bas de page ou un renvoi vers les coordonnées de la source (référence) est une manière courante de respecter cette obligation.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15,0.23972435349172663,0.06339468302658487,0.95,0.1782916295739621,1.0,1.0
93fb58fd26874571,Puis-je être immatriculé dans deux universités en même temps?,"Le contexte fourni ne mentionne pas explicitement la possibilité d'être immatriculé dans deux universités en même temps. Cependant, il évoque la mobilité horizontale (étudier dans une autre université tout en restant rattaché à l'EPFL) et la mobilité verticale (admission en master à l'EPFL pour des étudiants externes). Ces dispositions suggèrent que des collaborations institutionnelles existent, mais ne précisent pas si une double immatriculation est autorisée.

Pour une réponse définitive, il faudrait consulter les règles spécifiques de chaque section ou le responsable de la mobilité de l'EPFL, comme indiqué dans le [Chunk 5].",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.6678798880218266,0.31968503937007875,0.5833333333333334,0.3894708976929355,1.0,1.0
b3781955ee6fe24d,A combien de semaines de vacances par an ai-je le droit à partir de 60 ans en tant qu'employé à l'EPFL ?,"D'après le contexte fourni, à partir de 60 ans, vous avez droit à **5 semaines de vacances par an** (soit 25 jours). Le droit à 6 semaines (30 jours) s'applique uniquement aux moins de 20 ans et aux 50 ans et plus, mais il n'est pas mentionné de prolongation au-delà de 50 ans.

*(Source : Chunk 1, Article 17.2 et Chunk 3, Art. 51.2)*",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.4447688070997428,0.029850746268656716,0.95,0.11019242608004133,0.67,1.0
bfb02a71d3b76f1e,"J'envisage de commencer mes études à l'EPFL. ""Combien d'années faut-il compter pour faire sa formation à l'EPFL ?""","Le contexte fourni ne mentionne pas explicitement la durée des formations à l'EPFL. Cependant, il évoque des critères d'admission pour le bachelor et le master, ainsi que des règles liées à la prévoyance ou aux titres académiques. Pour obtenir une réponse précise sur la durée des études, il serait nécessaire de consulter les informations spécifiques aux programmes de bachelor ou de master proposés par l'EPFL, qui ne sont pas incluses dans les extraits fournis.

(Note : En général, un bachelor à l'EPFL dure 3 ans, et un master 1,5 à 2 ans, mais cette information n'est pas tirée du contexte donné.)",0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.1111111111111111,0.15,0.6625999511039841,0.996694214876033,0.0,0.33601320878025137,0.0,0.9
