trace_id,question,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
0adc34a220f13a60,Quels sont les membres qui composent la Direction de l'EPFL ?,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.1,0.7073107170400703,0.7913043478260869,0.34903596438402296
1664d91716cd2bd6,Est-ce qu'une décision de la Commission des prix de la recherche ou d’un jury spécifique doit être notifiées formellement au candidat par le biais d'une lettre recommandée ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3680718354209066,0.1437125748502994,0.24902132818532113
18820876eba772d6,Est-ce qu'un doctorant peut racheter son ordinateur ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29836015534397964,0.2744479495268139,0.09534555548808153
3e5bb0fda25fbb99,"J'envisage de commencer mes études à l'EPFL. ""Combien d'années faut-il compter pour faire sa formation à l'EPFL ?""",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.8432672228463723,0.8694214876033057,0.3062651368505327
3e83b59b373717f8,Existe-t-il un code d'honneur pour les étudiants en bachelor et où puis-je le trouver?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.7938692557893834,0.6600985221674877,0.4633233791013599
4895a365466f25d6,Quelles sont les conditons de réussite pour un bloc au niveau master à l'EPFL ?,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.14285714285714285,0.15,0.48525216851171504,0.8501529051987767,0.2482215030587547
66eadda27444917b,A combien de semaines de vacances par an ai-je le droit à partir de 60 ans en tant qu'employé à l'EPFL ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.31549076013736777,0.03508771929824561,0.12698443408053434
768921f205343571,"Je suis en première année de bachelor et j'ai obtenu la moyenne de 3,49 au semestre. Comment m'inscrire en BA2?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5222534581601253,0.8926553672316384,0.27918250867940364
9b406fa1d371ad64,"En tant qu’étudiant, puis-je créer un site web pour mon association avec un nom de domaine externe (ex: monlabo.ch) au lieu d’un site epfl.ch ? Est-ce que j'ai des contraintes à respecter concernant le choix du nom de domaine ?",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.5272912754872223,0.2430167597765363,0.29806840441628457
acb4bcc9305303b8,Les emprunts dans un travail écrit doivent-ils être reconnaissable via une note en bas de page ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.4464899702722928,0.1987179487179487,0.3733342401840082
ce59713f245d1b1a,Je viens d'obtenir mon bachelor à l'EPFL. Quel est mon titre officiel ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.6097365605122915,0.5071090047393365,0.16339758482272726
dd970fcf0edd68a0,Puis-je être immatriculé dans deux universités en même temps?,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.15,0.38888877996078014,0.42857142857142855,0.15413281166296272
f5bea01d43275e74,Est-ce que le COSEC est rattaché à la VPF à l'EPFL ?,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.2,0.4243998881695731,0.09841269841269841,0.2303406150032189
