trace_id,question,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_10,hit_at_15,hit_at_20,mrr_doc,ratio_correct_docs,semantic_similarity,len_answers_quality,chrf_score
1c71d9c2796b5e25,Puis-je être immatriculé dans deux universités en même temps?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38888877996078014,0.42857142857142855,0.15413281166296272
64ba7745c6382f85,Je viens d'obtenir mon bachelor à l'EPFL. Quel est mon titre officiel ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5667062180276938,0.23222748815165878,0.0853093993708434
8405660b3542fd3f,Est-ce qu'une décision de la Commission des prix de la recherche ou d’un jury spécifique doit être notifiées formellement au candidat par le biais d'une lettre recommandée ?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.3846492144048285,0.1348314606741573,0.2412563546561853
a3e02ca4401d35d2,"Je suis en première année de bachelor et j'ai obtenu la moyenne de 3,49 au semestre. Comment m'inscrire en BA2?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5222534581601253,0.8926553672316384,0.27918250867940364
b107f8eea4b67774,Quels sont les membres qui composent la Direction de l'EPFL ?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06666666666666667,0.05,0.6045226251445999,0.21513002364066194,0.3165451003414266
b21a80bd1b8bf2a5,A combien de semaines de vacances par an ai-je le droit à partir de 60 ans en tant qu'employé à l'EPFL ?,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.05,0.39359539648890535,0.07142857142857142,0.2028874793145853
b8994817162451b1,Quelles sont les conditons de réussite pour un bloc au niveau master à l'EPFL ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5794227936449192,0.4748201438848921,0.1676822738340701
bbf2d3b300ce0211,Est-ce qu'un doctorant peut racheter son ordinateur ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29836015534397964,0.2744479495268139,0.09534555548808153
bd29f106f3ebeb27,Est-ce que le COSEC est rattaché à la VPF à l'EPFL ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6422635319138507,0.31958762886597936,0.3080257295886042
c405316537d69061,Existe-t-il un code d'honneur pour les étudiants en bachelor et où puis-je le trouver?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6729044778600966,0.5335820895522388,0.2046338995342391
d9d4538e1e6d2fcd,Les emprunts dans un travail écrit doivent-ils être reconnaissable via une note en bas de page ?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2910886672489156,0.12601626016260162,0.2174431596030492
e5114bfe541648b0,"J'envisage de commencer mes études à l'EPFL. ""Combien d'années faut-il compter pour faire sa formation à l'EPFL ?""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6152909615607172,0.31735537190082647,0.13544292784982662
fb66f265e7bb5624,"En tant qu’étudiant, puis-je créer un site web pour mon association avec un nom de domaine externe (ex: monlabo.ch) au lieu d’un site epfl.ch ? Est-ce que j'ai des contraintes à respecter concernant le choix du nom de domaine ?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34310456745977536,0.45910290237467016,0.2778185236381072
